"","Field1","Project_Ti","Grantee","Grantee_Ty","Project_Sp","County","Project_La","Amount_Spe","Practices","Project_Su","Town","Zip_Code","Cropland","Rangeland","Orchard","Subsistenc","Forest_Lan","Wildlife_H","Cover_crop","Planting_h","Establishi","No_till_co","Multi_crop","Crop_lives","Planned_gr","Bale_grazi","Mulching","Compost_ap","Microbial_","Wetland_ri","Other","Eligible_E","Creator","Editor","X","Y","FID","EditDate","CreationDa","Acres","Project_Ye"
"37",37,"A Green Winter in Gila","Dirty Earth Farms","Individual Applicant","Grant SWCD","Grant","Cropland",6547.24,"Planting cover crops; planting pollinator habitat; multi-cropping; adopting no-till or conservation tillage; integrated crop-livestock systems; production & use of mulch, organic soil amendments, and microbial inoculants","The main resource concerns we hope to address are lack of biodiversity & biomass, compaction, and lack of soil structure & ground cover. We are going to help mitigate these concerns by applying cover crop seeds, compost, then straw. We will also build a hawk box for pest control & biodiversity.","Gila",88038,"Y","N","N","N","N","N","Y","N","Y","Y","Y","Y","N","N","Y","Y","Y","N","N","Grant SWCD","NMSU_SparcLab","NMSU_SparcLab",-12089189.6497,3888062.8485,37,"2023-06-11","2023-06-11",1,2022
"38",38,"Rio Grande Community Farm Soil Health Improvements","Rio Grande Community Farm","Individual Applicant","Ciudad SWCD","Bernalillo","Cropland; Wildlife Habitat",3094.7,"Planting diverse cover crop; multi-cropping; no-till seeding; compost application","At Rio Grande Community Farm, resource concerns are bare ground, single crop production, and reduced nutrient cycling. We invoke soil health principles of maintaining cover year-round, minimizing disturbance by no-till techniques, maximizing biodiversity, and maintaining living roots. We intend to maintain heritage, agricultural production, and wildlife for generations to come.","Albuquerque",87107,"Y","N","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","Y","N","N","N","Ciudad SWCD","NMSU_SparcLab","NMSU_SparcLab",-11873153.9509,4183128.9321,38,"2023-06-11","2023-06-11",17,2022
"39",39,"HEALTHY SOILS ALONG THE ACEQUIA: Orchard Renewal and Restoration in Velarde: Low Cost-High Impact","Barbara Jackson","Individual Applicant","East Rio Arriba SWCD","Rio Arriba","Orchard",9000.8,"Planting cover crops; adopting no-till or conservation tillage; mulching; bokashi compost production & application; soil microbial stimulation and inoculation","This project demonstrates a low cost, effective approach to improving soil health using Bokashi made on site, mulching and cover cropping to address the resource concerns of soil erosion, low soil organic matter, poor soil structure, a need to use water effciently and threats to biodiversity in a fallow orchard.","Velarde",87582,"N","N","Y","N","N","N","Y","N","N","Y","N","N","N","N","Y","Y","Y","N","Y","East Rio Arriba SWCD","NMSU_SparcLab","NMSU_SparcLab",-11797965.9748,4321545.4452,39,"2023-06-11","2023-06-11",3,2022
"40",40,"High Plains Regeneration Project","Kimberly Bostwick","Individual Applicant","Central Curry SWCD","Curry","Cropland; Rangeland",17094,"Planting cover crops; no-till seeding; planned grazing with appropriate graze and recovery periods; integrated crop-livestock systems; bale grazing","This project will address wind erosion and low soil organic matter on cropland and low plant productivity on rangeland. I plan to utilize no-till cover crops to keep the soil covered and a living root in the ground. Animal integration will both fertilize and stimulate plant production on all acres.","Melrose",88124,"Y","Y","N","N","N","N","Y","N","N","Y","N","Y","Y","Y","N","N","N","N","N","Central Curry SWCD","NMSU_SparcLab","NMSU_SparcLab",-11521016.4022,4100062.1876,40,"2023-06-11","2023-06-11",1097,2022
"41",41,"Developing an Integrated Soil Health Demonstration Farm","David & Mary Lucero","Individual Applicant","De Baca SWCD","De Baca","Rangeland; Orchard",10794.96,"Planting cover crops; planting perennial grasses in pastures; planting native shrubs along field edges; no-till seeding; planned grazing with appropriate graze and recovery period; integrated crop-livestock systems; compost application; soil microbial stimulation and inoculation","This project strives to reduce erosion and compaction, improve water infiltration, increase organic matter, and improve soil structure by adding biodiversity to a demonstration farm in DeBaca County. The project will involve adding native plants and perennial grasses, making and spreading compost on-site, and intensifying grazing management.","Fort Sumner",88119,"N","Y","Y","N","N","N","Y","Y","Y","Y","N","Y","Y","N","N","Y","Y","N","N","De Baca SWCD","NMSU_SparcLab","NMSU_SparcLab",-11601808.6024,4090973.2681,41,"2023-06-11","2023-06-11",8,2022
"42",42,"Rockin' L Farm Improvements","Rockin' L Farm","Individual Applicant","Grant SWCD","Grant","Cropland",1634.76,"Planting cover crops; planting hedgerows for windbreak; multi-cropping; mulching","The soil at Rockin' L Farm is gravelly and subject to erosion and baking. A hoophouse will help improve soil health by keeping the soil covered and minimizing disturbance. Planting cover crops and native perennials will increase biodiversity and attract animal life.","San Lorenzo",88041,"Y","N","N","N","N","N","Y","Y","N","N","Y","N","N","N","Y","N","N","N","N","Grant SWCD","NMSU_SparcLab","NMSU_SparcLab",-12013308.9141,3872566.4622,42,"2023-06-11","2023-06-11",1,2022
"43",43,"Building Healthy Soils at Farm Shark Farm","Farm Shark Farm","Individual Applicant","Ciudad SWCD","Bernalillo","Cropland",329.2,"Planting cover crops; multi-cropping; adopting no-till or conservation tillage; integrated crop-livestock systems; mulching","This project will utilize cover cropping, livestock integrated through fields seasonally, mulching and low till soil preparation methods in an effort to improve water infiltration, reduce soil compaction and increase soil organic matter on a diversified vegetable farm.","Albuquerque",87105,"Y","N","N","N","N","N","Y","N","N","Y","Y","Y","N","N","Y","N","N","N","N","Ciudad SWCD","NMSU_SparcLab","NMSU_SparcLab",-11873704.8116,4171503.3532,43,"2023-06-11","2023-06-11",1,2022
"44",44,"Casa San Ysidro Heritage Field Wild Seed Farm for Soil Health, Pollinators, and Habitat Restoration","Rio Grande Return","Individual Applicant","Ciudad SWCD","Sandoval","Cropland; Wildlife Habitat",13256.29,"Planting perennial, native vegetation and pollinator habitat; planting hedgerows; adopting no-till seeding; mulching; compost application; soil microbial stimulation and inoculation
","The Casa San Ysidro Heritage Field is subject to erosion, low SOM, poor soil structure and water retention, and lack of biodiversity. We will construct innovative swale beds with compost, inoculants, mulches, add drip irrigation, and establish perennial native seed production that will build soil and demonstrate native seed production.","Corrales",87048,"Y","N","Y","N","N","N","N","Y","Y","Y","N","N","N","N","Y","Y","Y","N","N","Ciudad SWCD","NMSU_SparcLab","NMSU_SparcLab",-11868441.5027,4195759.1232,44,"2023-06-11","2023-06-11",2,2022
"45",45,"Spirithaven Ranch Healthy Soils Project","Spirithaven Ranch","Individual Applicant","Guadalupe SWCD","Guadalupe","Cropland",9383.22,"Planting cover crops; no-till seeding; planned grazing with appropriate graze and recovery periods; integrated crop-livestock systems; mulching","We plan to address low carbon content and low microbial biodiversity by using the soil health principles of cover cropping, strategic planting and managed grazing.","Santa Rosa",88435,"Y","N","N","N","N","N","Y","N","N","Y","Y","Y","Y","N","Y","N","N","N","N","Guadalupe SWCD","NMSU_SparcLab","NMSU_SparcLab",-11649315.9249,4149992.9771,45,"2023-06-11","2023-06-11",65,2022
"46",46,"Chris Lucero's Healthy Soils Project","Chris Lucero Ranch","Individual Applicant","Guadalupe SWCD","Guadalupe","Cropland",6424,"Planting cover crops; multi-cropping; adopting no-till or conservation tillage; mulching","Mr. Lucero has produced predominately Alfalfa and Orchard grass for hay. The farm has recently taken an interest in a more regenerative approach to farming and is considering converting some fields to permanent pasture and introducing livestock to mitigate the current irregular weather cycles affecting his grass production on rangeland.","Santa Rosa",88435,"Y","N","N","N","N","N","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","Guadalupe SWCD","NMSU_SparcLab","NMSU_SparcLab",-11697817.663,4188658.2073,46,"2023-06-11","2023-06-11",40,2022
"47",47,"La Carreta/Sylvia Vergara Fruit Orchard, Pollinator and Shrub Healthy Soil Improvements","La Carreta/Sylvia Vergara Farm","Individual Applicant","East Rio Arriba SWCD","Rio Arriba","Orchard",2599.96,"Re-seeding orchard grass cover; planting pollinator garden; multi-cropping; adopting no-till or conservation tillage; planned grazing with appropriate graze and recovery periods; mulching; compost application","The resource concerns the project aims to address are improving the biology of the soil, and mitigate soil compaction. Also, in the orchard areas, I wish to reseed new orchard grass to hold down the soil. Agricultural practices will be adding manure, compost and worm castings to improve soil biology.","Dixon",87527,"N","N","Y","N","N","N","Y","N","Y","Y","Y","N","Y","N","Y","Y","N","N","N","East Rio Arriba SWCD","NMSU_SparcLab","NMSU_SparcLab",-11783763.8484,4326832.0829,47,"2023-06-11","2023-06-11",2,2022
"48",48,"Soil Health- A New Beginning","Cuba Soil & Water Conservation District","Eligible Entity","N/A","Sandoval","Cropland",15700,"Planting cover crops; adopting no-till or conservation tillage; compost application","From beginning to end, this project will emphasize the importance of soil health and utilize the principles of conservation planning. Participants will gain the knowledge and experience necessary to identify, implement, and evaluate the principles of soil health, so they can lead the way towards healthier productive soils.","Cuba",87013,"Y","N","N","N","N","N","Y","N","N","Y","N","N","N","N","N","Y","N","N","N","Cuba SWCD","NMSU_SparcLab","NMSU_SparcLab",-11907785.7907,4299810.3167,48,"2023-06-11","2023-06-11",200,2022
"49",49,"Healthy Soils for Vigil y Romo Parciantes","Vigil y Romo Acequia","Eligible Entity","N/A","Taos","Cropland; Wildlife Habitat",20046.03,"Planting cover crops; multi-cropping; adopting no-till or conservation tillage; mulching; applying compost tea & biochar","Healthy Soils for Vigil y Romo Parciantes addresses resource concerns of compaction, erosion, organic matter, infiltration, biodiversity, invasive species, crop quality, and weed pressure along the VyR acequia through the application of healthy soil principles and the development of a Land Lab to serve regional landowners and additional parciantes.","Taos",87571,"Y","N","N","N","N","Y","Y","N","N","Y","Y","N","N","N","Y","Y","Y","N","N","Vigil y Romo Acequia","NMSU_SparcLab","NMSU_SparcLab",-11753870.6797,4355750.559,49,"2023-06-11","2023-06-11",44,2022
"50",50,"Healthy Soil Principles at Candelaria Nature Preserve","Ciudad Soil and Water Conservation District","Eligible Entity","N/A","Bernalillo","Wildlife Habitat",22865.8,"Planting cover crops, hedgerows, and native vegetation; no-till seeding; planned intensive grazing with goats; mulching; soil microbial stimulation and inoculation","Candelaria Nature Preserve Open Space is converting traditional cash-crop farmland into wildlife crops and urban wildlife habitat. Cuidad SWCD will begin healing soil compaction, poor soil structure and infiltration, and lack of biodiversity using notill drilled cover and pollinator crops, mulches, appropriate grazing, and native hedgerows on 35 acres.","Albuquerque",87109,"N","N","N","N","N","Y","Y","Y","Y","Y","N","N","Y","N","Y","N","Y","N","N","Ciudad SWCD","NMSU_SparcLab","NMSU_SparcLab",-11865208.9519,4186508.9379,50,"2023-06-11","2023-06-11",67,2022
"51",51,"Taos SWCD Healthy Soil Cover Crop Project","Taos Soil & Water Conservation District","Eligible Entity","N/A","Taos","Cropland",11294.75,"Planting cover crops; adopting no-till or conservation tillage;  integrated crop-livestock systems","Taos SWCD will assist 12 producers in 9 communities with cover crop planting. The project will encompass 61 acres. All producers served by this grant have cooperated with Taos SWCD previously on conservation project implementation. All 12 producers can complete their portions of the cover crop project.","Taos",87571,"Y","N","N","N","N","N","Y","N","N","Y","N","Y","N","N","N","N","N","N","N","Taos SWCD","NMSU_SparcLab","NMSU_SparcLab",-11755677.9261,4352370.5707,51,"2023-06-11","2023-06-11",61,2022
"52",52,"Rebuilding Greenhouse and Field Soil at Red Willow Center","Red Willow Center","Individual Applicant","Pueblo of Taos","Taos","Cropland",10872.01,"Planting cover crops; multi-cropping; adopting no-till or conservation tillage; mulching; compost application","Our project focuses on the erosion, lack of organic matter, water infiltration and soil compaction at our farm, as these factors directly affect the nutrition of our food. Through the use of cover crop and other agricultural practices, we hope to improve our soil to better serve our community.","Taos Pueblo",87571,"Y","N","N","N","N","N","Y","N","N","Y","Y","N","N","N","Y","Y","N","N","N","Pueblo of Taos","NMSU_SparcLab","NMSU_SparcLab",-11751255.004,4358784.4783,52,"2023-06-11","2023-06-11",2,2022
"53",53,"Town of Tome Land Grant Community Center - Soil Restoration Project","Town of Tome Land Grant","Eligible Entity","N/A","Valencia","Subsistence/Community Garden; Wildlife Habitat",2908.63,"Planting cover crops; planting native wildflowers for pollinator habitat;  adopting no-till or conservation tillage; mulching; compost application; soil microbial stimulation and inoculation; loosening and improvement of topsoil through (1) shallow tilling, and (2) incorporation of non-clay topsoil to enhance infiltration and root-growth capacities","Major resource concerns are: (1) low soil organic matter; (2) infiltration and percolation; (3) lack of biodiversity; (4) insufficient plant species and composition; (5) poor soil structure; and (6) soil compaction.
Principles the project(s) will address are: (1) maximizing biodiversity; (2) maintaining a living root; and (3) keeping soil covered.","Tome",87060,"N","N","N","Y","N","Y","Y","N","Y","Y","N","N","N","N","Y","Y","Y","N","Y","Town of Tome Land Grant","NMSU_SparcLab","NMSU_SparcLab",-11880849.6924,4128556.0828,53,"2023-06-11","2023-06-11",2,2022
"54",54,"Improving Soil Health on a Community Farm as an Educational, Replicable Model","Reunity Resources","Individual Applicant","Santa Fe-Pojoaque SWCD","Santa Fe","Cropland",6393.04,"Planting cover crops; planting perennial hedgerows; adopting no-till; mulching; compost tea production & application","This project will address heavy compaction on 1.65 acres of cropland while improving water infiltration and erosion resiliency by 1) cover crops with varying root depths and to protect soil surface, 2) mulching the paths, plants and borders, 3) planting perennial bushes and shrubs, and transitioning to no-till farming techniques.","Santa Fe",87507,"Y","N","N","N","N","N","Y","Y","N","Y","N","N","N","N","Y","Y","Y","N","N","Santa Fe-Pojoaque SWCD","NMSU_SparcLab","NMSU_SparcLab",-11801158.692,4254214.432,54,"2023-06-11","2023-06-11",2,2023
"55",55,"Increasing Soil Organic Matter in High Intensity Vegetable Production Systems","Kevin Branum","Individual Applicant","Lava SWCD","Cibola","Cropland",16830,"Planting cover crops; conservation tillage; integrated crop-livestock systems","On 32 acres of cropland the changes in vegetable production through change of practices in the project will help address soil wind erosion, soil water erosion, crop residues, reduced tillage management, and increase soil organic matter and soil health.","Grants",87020,"Y","N","N","N","N","N","Y","N","N","Y","N","Y","N","N","N","N","N","N","N","Lava SWCD","NMSU_SparcLab","NMSU_SparcLab",-12012784.0101,4192390.7914,55,"2023-06-11","2023-06-11",32,2023
"56",56,"The Los Jardines Institute Healthy Soil, Healthy Food, Healthy Community Initiative","Los Jardines Institute","Individual Applicant","Ciudad SWCD","Bernalillo","Cropland",5998.41,"Planting cover crops; planting pollinator habitat; multi-cropping; conservation tillage; mulching; compost application; soil microbial stimulation and inoculation","Our project is on 1.5 acres with just under half an acre producing food. Soil health-related resource concerns we will address include compaction, low soil organic matter, poor soil structure, and erosion through the use of composting, mixed cover cropping, mulching, crop rotation, and by using beneficial plants and insects.","Albuquerque",87105,"Y","N","N","N","N","N","Y","N","Y","Y","Y","N","N","N","Y","Y","Y","N","N","Ciudad SWCD","NMSU_SparcLab","NMSU_SparcLab",-11873984.2238,4171472.8751,56,"2023-06-11","2023-06-11",0,2023
"57",57,"Regenerative Projects at Regeneration Farm!","Regeneration Farm and Toots' Shady Grove Orchard","Individual Applicant","Ciudad SWCD","Bernalillo","Cropland; Orchard",8816.17,"Planting cover crops; planting pollinator habitat field borders; multi-cropping; no-till seeding; transitional subsoil tillage; planned grazing; crop-livestock integration; mulching; compost application","I am improving three fields of my family’s South Valley land: a fallow field, an orchard, and a small over-worked plot, 3.1 acres in total. For each, this year’s priorities are perennial pollinator habitat borders and cover crops with drip irrigation, using mulch to protect and cover the remaining soil.","Albuquerque",87105,"Y","N","Y","N","N","N","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","N","N","N","Ciudad SWCD","NMSU_SparcLab","NMSU_SparcLab",-11878157.0494,4168087.5815,57,"2023-06-11","2023-06-11",3,2023
"58",58,"Ramah Ranch - Bottomland Restoration","Ramah Ranch","Individual Applicant","Lava SWCD","Cibola","Rangeland",8695.19,"Planting cover crops; no-till seeding; planned grazing; bale grazing","Utilizing an annual cover crop to establish a living root, cover the soil, and increase diversity on 100 acres of clayey bottom land that has been overgrazed. Bale grazing will increase organic matter and provide soil cover. Animals will help to incorporate organic matter into the soil.","Ramah",87321,"N","Y","N","N","N","N","Y","N","N","Y","N","N","Y","Y","N","N","N","N","N","Lava SWCD","NMSU_SparcLab","NMSU_SparcLab",-12069424.75,4178286.2039,58,"2023-06-11","2023-06-11",100,2023
"59",59,"Three Sisters Soil Project","Rachel Anderson & Ann Kalcich","Individual Applicant","San Juan SWCD","San Juan","Cropland; Rangeland",21984.5,"Planting cover crops; planting pollinator habitat; multi-cropping; adopting no-till; planned grazing; mulching; compost application; integrated crop livestock systems; mulching; compost application; on-site wetland and riparian restoration","Our project includes 27.6 acres of rangeland, cropland, riparian region and pollinator strips. Resource concerns addressed are the reversal of desertification, the increase of water quality and sources, the enrichment of soil health while repopulating native wildlife. We hope to adapt to climate change and optimize crop/livestock/honey production and quality.","Farmington",87401,"Y","Y","N","N","N","N","Y","N","Y","Y","Y","N","Y","N","Y","Y","N","Y","N","San Juan SWCD","NMSU_SparcLab","NMSU_SparcLab",-12047848.7973,4417535.4345,59,"2023-06-11","2023-06-11",28,2023
"60",60,"Hacienda Dominguez & Chelenzo Farms Healthy Soil Regeneration Initiative","Hacienda Dominguez & Chelenzo Farms","Individual Applicant","Santa Fe-Pojoaque SWCD","Santa Fe","Cropland; Rangeland; Pinon/Juniper",15723.66,"Planting cover crops; planting hedgerows; establishing pollinator habitat; conservation tillage; planned grazing; mulching; soil microbial stimulation and inoculation: berm system planted with drought-resistant agave and cacti (sistemas zanja-bordo)","Our project area spans 2.5 acres of crop and range land. Lacking groundcover and biodiversity, there is widespread erosion. Water is not sufficiently retained. The agricultural practices that we plan to use to remedy these concerns include passive water harvesting, cover-cropping, controlled grazing, brush management, and compost and mulch application.","Cerrillos",87010,"Y","Y","N","N","N","N","Y","Y","Y","Y","N","N","Y","N","Y","N","Y","N","Y","Santa Fe-Pojoaque SWCD","NMSU_SparcLab","NMSU_SparcLab",-11807524.0598,4221931.1231,60,"2023-06-11","2023-06-11",2,2023
"61",61,"Cover Cropping","Robert Haggerty","Individual Applicant","Santa Fe-Pojoaque SWCD","Santa Fe","Cropland; Orchard",757.72,"Planting a cover crop; no-till seeding","I intend to seed 4.5 acres of mixed cropland and orchard with cover crops. These cover crops will help to establish a living root and build topsoil with the ancillary benefit of providing forage for the apiary on site.","Chimayo",87522,"Y","N","Y","N","N","N","Y","N","N","Y","N","N","N","N","N","N","N","N","N","Santa Fe-Pojoaque SWCD","NMSU_SparcLab","NMSU_SparcLab",-11792488.8952,4300509.4566,61,"2023-06-11","2023-06-11",4,2023
"62",62,"Sheep and cover crops improve soil health creating land resilience against erosion, good soil tilth, increase water storage/drainage, low weed pressure and resistance to degradation.","Rosalia Ciddio","Individual Applicant","East Rio Arriba SWCD","Rio Arriba","Cropland",14408.63,"Planting cover crops, perennials, hedgerows, native grasses and other native vegetation; establishing pollinator habitat; multi-cropping; conservation tillage; planned grazing ; integrated crop-livestock systems; mulching; compost application; soil microbial stimulation and inoculation","The project is implemented on 4.7 acres of cropland to address the lack of: soil tilth, sufficient depth, water storage/drainage, populations of beneficial organisms, weed suppression, diaster resilience. Sheep will eradicate invasive species, fertilize with droppings then we plant native grasses behind them, creating cover crop and maintained living root.","Dixon",87527,"Y","N","N","N","N","N","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","N","N","East Rio Arriba SWCD","NMSU_SparcLab","NMSU_SparcLab",-11781350.8693,4325521.8876,62,"2023-06-11","2023-06-11",5,2023
"63",63,"Urban Community Garden Transformation","Backyard Farms","Individual Applicant","Doña Ana SWCD","Doña Ana","Urban Community Farm",16250.28,"Planting cover crops; planting hedrows; multi-cropping; mulching; compost & biochar application; soil microbial stimulation and inoculation","The Urban Ag Community Garden, is an acre of cropland, used to produce food and educate vulnerable populations. We will address issues of erosion, poor soil structure with compaction and low organic matter, and increasing biodiversity; by covering soil, keeping living roots, adding organic inputs, and supporting pollinators and biodiversity.","Las Cruces",88001,"N","N","N","Y","N","N","Y","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Doña Ana SWCD","NMSU_SparcLab","NMSU_SparcLab",-11884884.149,3801520.8925,63,"2023-06-11","2023-06-11",1,2023
"64",64,"Las Lomas Soil and Vegetation Restoration and Conservation Project","Alfred L. Baca","Individual Applicant","Coronado SWCD","Sandoval","Rangeland",18939.15,"Planting native grasses for range restoration; no-till seeding;  planned grazing with appropriate graze and recovery periods and herd effect; bale grazing","Amount: 45 acres (3-15 acre pastures). Type: Rangeland. Soil type: Sedillo, very gravelly fine sandy loam, high run-off. Concerns: degraded soil due to extended drought, windstorms, previous wash-outs. Agricultural/conservation practices: fencing, year-round rotational bale grazing, seeding, water truck, micro/macro water catchment.","Algodones",87001,"N","Y","N","N","N","N","N","N","Y","Y","N","N","Y","Y","N","N","N","N","N","Coronado SWCD","NMSU_SparcLab","NMSU_SparcLab",-11856730.4721,4214148.3638,64,"2023-06-11","2023-06-11",45,2023
"65",65,"Montecito Earth Alchemy: From Conventional to Regenerative Farming","Jennifer Rizzo","Individual Applicant","East Rio Arriba SWCD","Rio Arriba","Cropland",17426.81,"Planting cover crops, hedgerows and pollinator habitat; multi-cropping; adopting conservation tillage; integrated crop-livestock systems; mulch application; compost application; soil microbial stimulation and inoculation","The 4.75 acres of conventionally farmed cropland has compaction, aggregate instability, lack of biodiversity, low soil organic matter, soil organism habitat loss and erosion concerns. The project addresses these concerns through no-till practices, planting cover crops, adding mulch, compost and manure, establishing field borders, integrating livestock and promoting pollinator habitat.","Dixon",87527,"Y","N","N","N","N","N","Y","Y","Y","Y","Y","Y","N","N","Y","Y","Y","N","N","East Rio Arriba SWCD","NMSU_SparcLab","NMSU_SparcLab",-11783552.2926,4326699.7492,65,"2023-06-11","2023-06-11",5,2023
"66",66,"Sandoval Ranch HSP 22/23","Christopher McCaffrey-Boss","Individual Applicant","Taos SWCD","Mora","Rangeland",5195.6,"Planting cover crops, hedgerows and native grass cover; adopting no-till seeding; planned grazing with appropriate graze and recovery periods and herd effect","This project is on 27 acres rangeland in Guadalupita that has been traditionally farmed and grazed with sheep. The land is pasture, spotted with pine and pinyon, pasture condition is poor due to overgrazing and drought. I have 22 acres of leased land and another 5 acres accessible if fenced.","Guadalupita",87722,"N","Y","N","N","N","N","Y","Y","Y","Y","N","N","Y","N","N","N","N","N","N","Taos SWCD","NMSU_SparcLab","NMSU_SparcLab",-11715488.8684,4315098.9477,66,"2023-06-11","2023-06-11",27,2023
"67",67,"Ancient Waters Farm Soil Health","Ancient Waters Farm","Individual Applicant","East Rio Arriba SWCD","Rio Arriba","Cropland",5083.71,"Planting cover crops, hedgerows, native vegetation, and pollinator habitat; multi-cropping; conservation tillage; applying mulch; producing & applying compost","We acquired our one acre homestead 1 year ago. We have approximately 30,600 square feet of arable, irrigable soil that currently lacks organic matter, is compacted, left bare over the previous years. Our approach to reestablish soil health is to mulch, compost, cover crops, plant perennials and use drip irrigation.","Española",87532,"Y","N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","Y","Y","N","N","N","East Rio Arriba SWCD","NMSU_SparcLab","NMSU_SparcLab",-11807264.5178,4297170.5855,67,"2023-06-11","2023-06-11",1,2023
"68",68,"Clark Farm Soil Improvement","Clark Farm","Individual Applicant","Canadian River SWCD","Quay","Cropland",19370.29,"Planting cover crops; no-till seeding; planned grazing with appropriate graze and recovery periods and herd effect; compost and manure application","I would like to increase soil organic matter by managing nutrients though the application of Compost or Manure. Soil compaction will be addressed with no till planting of a cover crop mix with various root depths. Finally, prescribed grazing of cover crops will be used to continue increasing organic matter.","Tucumcari",88401,"Y","N","N","N","N","N","Y","N","N","Y","N","Y","Y","N","N","Y","N","N","N","Canadian River SWCD","NMSU_SparcLab","NMSU_SparcLab",-11530747.5357,4185155.1102,68,"2023-06-11","2023-06-11",82,2023
"69",69,"Soil Regeneration of Baca Family Farm","Baca Family Farm","Individual Applicant","Valencia SWCD","Valencia","Cropland",23246.48,"Establishing native grass cover; no-till seeding; planned grazing with appropriate graze and recovery periods and herd effect; integrated crop-livestock systems; mulching; compost application; soil microbial stimulation and inoculation","The 12.6 acres (cropland) has been heavily plowed, tilled, & sprayed with chemical fertilizers, herbicides, & insecticides for > 30 years. Produces low/no crop growth. Has high soil salinity, poor drainage (unlevel), soil compaction, low organic matter & lacks biodiversity. Breaking-up plow pan once, no-till drill, increase microbial biodiversity, increase grazing, & improve moisture retention.","Belen",87002,"Y","N","N","N","N","N","N","N","Y","Y","N","Y","Y","N","Y","Y","Y","N","N","Valencia SWCD","NMSU_SparcLab","NMSU_SparcLab",-11885652.2504,4127127.989,69,"2023-06-11","2023-06-11",13,2023
"70",70,"Operation Cover Crop Pecan Style","On the DL, LLC","Individual Applicant","Carlsbad SWCD","Eddy","Orchard",2849.89,"Planting cover crops; reduced tillage; integrated crop-livestock systems; compost application; soil microbial stimulation and inoculation","The land is 2.5 acres of Pecan Orchard. The orchard soil has soil compaction issues, depleted soil organic matter, low soil organism habitat and an uneven orchard floor. Practices will be to level floor, plant cover crops and fertilize.","Carlsbad",88220,"N","N","Y","N","N","N","Y","N","N","Y","N","Y","N","N","N","Y","Y","N","N","Carlsbad SWCD","NMSU_SparcLab","NMSU_SparcLab",-11609420.2458,3818904.5885,70,"2023-06-11","2023-06-11",2,2023
"71",71,"Conservation Homestead Rangeland Restoration","Santa Fe Conservation Trust","Individual Applicant","Santa Fe-Pojoaque SWCD","Santa Fe","Rangeland",15500.08,"Planting cover crops and establishing native vegetation; prescribed grazing; bale grazing; mulching","The project comprises an 18-acre rangeland site with many patches of bare soil, insufficient plant species composition, low soil biodiversity, low soil organic matter, and decreased plant productivity. Conservation Practices include mulching, minimizing soil disturbance, reseeding native grasses and forbs, and prescribed grazing with goats and sheep.","Lamy",87540,"N","Y","N","N","N","N","Y","N","Y","N","N","N","Y","Y","Y","N","N","N","N","Santa Fe-Pojoaque SWCD","NMSU_SparcLab","NMSU_SparcLab",-11793185.3997,4224340.9399,71,"2023-06-11","2023-06-11",18,2023
"72",72,"Healthy Soils in the Railyard Park: Graze Days and Grassland Restoration","Railyard Park Conservancy","Individual Applicant","Santa Fe-Pojoaque SWCD","Santa Fe","Public city park with native grassland",11649.59,"Planting cover crops; establishing native grasses and other native vegetation; planned grazing with appropriate graze and recovery periods and herd effect; composted mulch application","RPC's project will encompass 2.1 acres of rangeland in Railyard Park. It will address the Concerns of bare ground, soil erosion & compaction, invasive weeds and minimal habitat. We will address all five Principles by implementing the Practices of prescribed grazing, reseeding, weed removal, covering with organic litter and adding compost.","Santa Fe",87505,"N","Y","N","N","N","Y","Y","N","Y","N","N","N","Y","N","Y","Y","N","N","N","Santa Fe-Pojoaque SWCD","NMSU_SparcLab","NMSU_SparcLab",-11794253.1405,4256682.3219,72,"2023-06-11","2023-06-11",2,2023
"73",73,"Increase fruit orchard biodiversity, soil health and erosion control through drought-resistant hedgerow/windbreak and ground cover plantings","Institute of Ecotechnics: Synergia Ranch Organic","Individual Applicant","Santa Fe-Pojoaque SWCD","Santa Fe","Orchard",6284.62,"Planting cover crops; planting hedgerows; no-till seeding; planned grazing; crop-livestock integration; soil microbial stimulation and inoculation","This healthy soil project on 4.5 acres fruit orchard will increase soil cover and reduce soil erosion/compaction by planting diverse native grass/clovers groundcover, creating edgerow/windbreak with drought-resistant native shrubs and trees aiding pollinator habitat, addition of humates to orchard increasing soil organic matter and grazing by sheep/goats to incorporate animals.","Santa Fe",87508,"N","N","Y","N","N","N","Y","Y","N","Y","N","Y","Y","N","N","N","Y","N","N","Santa Fe-Pojoaque SWCD","NMSU_SparcLab","NMSU_SparcLab",-11810473.5171,4230763.5119,73,"2023-06-11","2023-06-11",4,2023
